"Name","Institution","state","session","updated_at"
An16r,"UFMG","MG","ST-7","2019-05-07 14:25:20"
Fr16o,"PI","UFPI","ST-7","2019-05-07 14:26:27"
Lu9i,"","","ST-7","2019-05-07 14:26:31"
Do12b,"UFF","RJ","ST-9","2019-05-07 14:27:39"
Ne17o,"UFRJ","RJ","ST-9","2019-05-07 14:27:42"
Pa16g,"UFC","CE","ST-7","2019-05-07 14:28:20"
An15v,"UFPA","PA","ST-7","2019-05-07 14:29:58"
Mo15c,"USP","SP","ST-8","2019-05-07 14:29:59"
Ma12r,"LNCC","RJ","ST-8","2019-05-07 14:30:01"
Ma15t,"DF","UnB","ST-9","2019-05-07 14:30:35"
Jo11i,"","","ST-9","2019-05-07 14:30:40"
An15v,"UFPA","PA","ST-9","2019-05-07 14:33:32"
An15v,"UFPA","PA","ST-9","2019-05-07 14:33:45"
An15v,"UFPA","PA","ST-8","2019-05-07 14:43:00"
Fr14g,"UNIPAMPA","RS","ST-7","2019-05-07 14:43:04"
Lo16r,"ITA","SP","ST-7","2019-05-07 14:45:37"
Fe15a,"PA","UFPA","ST-8","2019-05-07 14:47:24"
Cr18a,"UFAL","AL","ST-7","2019-05-07 14:48:47"
Ne17o,"UFRJ","RJ","ST-8","2019-05-07 14:51:57"
Do12b,"UFF","RJ","ST-8","2019-05-07 14:52:00"
Ro19c,"UNICAMP","SP","ST-9","2019-05-07 14:58:55"
Ar10e,"UNIPAMPA","RS","ST-8","2019-05-07 15:00:37"
Le16e,"UFRGS","RS","ST-7","2019-05-07 15:00:38"
Le16e,"UFRGS","RS","ST-7","2019-05-07 15:00:45"
Lu29i,"UFLA","MG","ST-8","2019-05-07 15:07:19"
An15v,"UFPA","PA","ST-8","2019-05-07 15:26:04"
Fi15o,"UFC","CE","ST-8","2019-05-07 15:26:10"
An12e,"UFPI","PI","ST-8","2019-05-07 15:26:46"
Ma16d,"IFGO","GO","ST-9","2019-05-07 15:27:06"
Vi13t,"UFES","MG","ST-9","2019-05-07 15:34:53"
Lu19r,"UNICAMP","SP","ST-7","2019-05-07 15:35:39"
An15n,"UFAL","AL","ST-7","2019-05-07 15:35:57"
An16r,"UFMG","MG","ST-7","2019-05-07 15:36:07"
Th15n,"MCTIC","DF","ST-8","2019-05-07 15:38:48"
Ev14d,"UFRJ","RJ","ST-9","2019-05-07 15:46:55"
Cl16m,"UFV","MG","ST-9","2019-05-07 15:51:20"
Gl17e,"UFPI","MG","ST-9","2019-05-07 15:59:16"
Vi13t,"UFES","MG","ST-9","2019-05-07 15:59:38"
Jo11i,"","","ST-9","2019-05-07 16:02:11"
Al16e,"UFMG","MG","ST-10","2019-05-07 16:20:50"
Ot11r,"UFLA","MG","ST-10","2019-05-07 16:27:29"
El16o,"UFSJ","MG","ST-10","2019-05-07 16:27:59"
Ma13i,"UFABC","SP","ST-10","2019-05-07 16:28:14"
Th14t,"UFPR","PR","ST-10","2019-05-07 16:28:35"
Ed21o,"UFMG","MG","ST-10","2019-05-07 16:28:43"
Lu9i,"","","ST-10","2019-05-07 16:29:47"
Ra15c,"UFMG","MG","ST-10","2019-05-07 16:29:49"
Pa13s,"IFPB","PB","ST-10","2019-05-07 16:30:29"
Mi11t,"UFPI","PI","ST-10","2019-05-07 16:30:47"
Ma18h,"UFMG","MG","ST-10","2019-05-07 16:31:01"
Hu13o,"IFSUL","RS","ST-11","2019-05-07 16:31:30"
Ar10e,"UNIPAMPA","RS","ST-10","2019-05-07 16:32:26"
Fr14g,"UNIPAMPA","RS","ST-10","2019-05-07 16:32:34"
Ra19e,"HPE","RS","ST-10","2019-05-07 16:32:39"
Ru21e,"UNIPAMPA","RS","ST-10","2019-05-07 16:32:41"
Do12b,"UFF","RJ","ST-11","2019-05-07 16:34:00"
Al19l,"UFPE","PI","ST-11","2019-05-07 16:34:45"
Ia13o,"UFPE","PE","ST-11","2019-05-07 16:34:50"
Ju19J,"UFPI","PI","ST-11","2019-05-07 16:35:10"
An15v,"UFPA","PA","ST-10","2019-05-07 16:35:15"
Fe14v,"RS","UFRGS","ST-10","2019-05-07 16:36:33"
An14g,"RS","PUCRS","ST-10","2019-05-07 16:36:36"
Jo15t,"UNICAMP","SP","ST-11","2019-05-07 16:37:20"
Hu11o,"UFPA","PA","ST-11","2019-05-07 16:37:24"
Do15e,"UFMG","MG","ST-10","2019-05-07 16:37:55"
Ne17r,"UFPI","PI","ST-11","2019-05-07 16:38:48"
Hu10o,"UFRJ","RJ","ST-10","2019-05-07 16:39:46"
Si11n,"Ericsson Research","SP","ST-10","2019-05-07 16:41:12"
Lu19r,"UNICAMP","SP","ST-11","2019-05-07 16:42:10"
Ta13n,"SP","UNICAMP","ST-11","2019-05-07 16:42:47"
Lo16r,"ITA","SP","ST-10","2019-05-07 16:42:50"
Ne17o,"UFRJ","RJ","ST-11","2019-05-07 16:42:58"
Ma19e,"IFFarroupilha","RS","ST-10","2019-05-07 16:45:39"
Da11m,"UNIPAMPA","RS","ST-10","2019-05-07 16:45:42"
Fr23j,"UFBA","CE","ST-10","2019-05-07 16:45:46"
Fe11i,"UFPA","PA","ST-11","2019-05-07 16:46:29"
Lu12e,"UFPA","PA","ST-10","2019-05-07 16:46:34"
He15r,"UFPA","PA","ST-10","2019-05-07 16:46:39"
Ar11w,"UFPA","PA","ST-10","2019-05-07 16:46:42"
Pe11m,"HP","RS","ST-10","2019-05-07 16:47:36"
Da21h,"UFPE","PE","ST-10","2019-05-07 16:47:48"
Fa15a,"UFPA","PA","ST-11","2019-05-07 16:48:14"
Ma12l,"UFGD","MS","ST-10","2019-05-07 16:50:09"
An12t,"UFBA","BA","ST-11","2019-05-07 16:50:36"
Ma16h,"UFMG","MG","ST-10","2019-05-07 16:51:27"
Ma13z,"BA","UFBA","ST-10","2019-05-07 16:53:53"
Fa14g,"Petrobrás","RJ","ST-10","2019-05-07 16:55:52"
Lu12o,"UFBA","BA","ST-10","2019-05-07 16:58:10"
Ia13o,"UFPE","PE","ST-11","2019-05-07 17:00:49"
